"town","fips","county_fips","county","subtown"
"South Windsor","0900371390","09003","Hartford County","Biseli"
"South Windsor","0900371390","09003","Hartford County","East Windsor Hill"
"Southington","0900370550","09003","Hartford County","Marion"
"Southington","0900370550","09003","Hartford County","Milldale"
"Southington","0900370550","09003","Hartford County","Plantsville"
"Suffield","0900374540","09003","Hartford County","West Suffield"
"West Hartford","0900382590","09003","Hartford County","Bishop's Corner"
"West Hartford","0900382590","09003","Hartford County","Elmwood"
"Windsor","0900387000","09003","Hartford County","Poquonock"
"Barkhamsted","0900502760","09005","Litchfield County","Pleasant Valley"
"Barkhamsted","0900502760","09005","Litchfield County","Riverton"
"Canaan","0900510940","09005","Litchfield County","Falls Village"
"Cornwall","0900517240","09005","Litchfield County","Cornwall Bridge"
"Cornwall","0900517240","09005","Litchfield County","West Cornwall"
"Kent","0900540290","09005","Litchfield County","South Kent"
"Litchfield","0900543370","09005","Litchfield County","Bantam"
"Litchfield","0900543370","09005","Litchfield County","Lyme Rock"
"Litchfield","0900543370","09005","Litchfield County","Northfield"
"Morris","0900549460","09005","Litchfield County","East Morris"
"Morris","0900549460","09005","Litchfield County","Lakeside"
"New Hartford","0900551350","09005","Litchfield County","Bakersville"
"New Hartford","0900551350","09005","Litchfield County","Pine Meadow"
"New Milford","0900552630","09005","Litchfield County","Gaylordsville"
"North Canaan","0900554030","09005","Litchfield County","Canaan"
"North Canaan","0900554030","09005","Litchfield County","East Canaan"
"Plymouth","0900560750","09005","Litchfield County","Pequabuck"
"Plymouth","0900560750","09005","Litchfield County","Terryville"
"Salisbury","0900566420","09005","Litchfield County","Hotchkiss School"
"Salisbury","0900566420","09005","Litchfield County","Lakeville"
"Salisbury","0900566420","09005","Litchfield County","Taconic"
"Washington","0900579720","09005","Litchfield County","Marble Dale"
"Washington","0900579720","09005","Litchfield County","New Preston"
"Washington","0900579720","09005","Litchfield County","Washington Depot"
"Watertown","0900580490","09005","Litchfield County","Oakville"
"Winchester","0900586440","09005","Litchfield County","Winchester Center"
"Winchester","0900586440","09005","Litchfield County","Winsted"
"East Haddam","0900722280","09007","Middlesex County","Moodus"
"East Hampton","0900722490","09007","Middlesex County","Cobalt"
"East Hampton","0900722490","09007","Middlesex County","Middle Haddam"
"Essex","0900726270","09007","Middlesex County","Centerbrook"
"Essex","0900726270","09007","Middlesex County","Ivoryton"
"Haddam","0900735230","09007","Middlesex County","Higganum"
"Middlefield","0900747080","09007","Middlesex County","Rockfall"
"Middletown","0900747360","09007","Middlesex County","Baileyville"
"Middletown","0900747360","09007","Middlesex County","Wesleyan"
"Branford","0900907310","09009","New Haven County","Short Beach"
"Branford","0900907310","09009","New Haven County","Stony Creek"
"Derby","0900919550","09009","New Haven County","East Derby"
"Hamden","0900935650","09009","New Haven County","Centerville"
"Hamden","0900935650","09009","New Haven County","Mt Carmel"
"Hamden","0900935650","09009","New Haven County","Whitneyville"
"Meriden","0900946520","09009","New Haven County","South Meriden"
"Milford","0900947535","09009","New Haven County","Devon"
"Milford","0900947535","09009","New Haven County","Wildermere Beach"
"Milford","0900947535","09009","New Haven County","Woodmont"
"Naugatuck","0900949950","09009","New Haven County","Union City"
"New Haven","0900952070","09009","New Haven County","Amity"
"New Haven","0900952070","09009","New Haven County","Fair Haven"
"New Haven","0900952070","09009","New Haven County","Terminal"
"New Haven","0900952070","09009","New Haven County","Westville"
"New Haven","0900952070","09009","New Haven County","Yale"
"North Branford","0900953890","09009","New Haven County","Northford"
"Southbury","0900969640","09009","New Haven County","South Britain"
"Wallingford","0900978740","09009","New Haven County","Gayesville"
"Wallingford","0900978740","09009","New Haven County","Yalesville"
"Waterbury","0900980070","09009","New Haven County","East End"
"Waterbury","0900980070","09009","New Haven County","North End"
"Waterbury","0900980070","09009","New Haven County","Waterville"
"Bozrah","0901106820","09011","New London County","Fitchville"
"Bozrah","0901106820","09011","New London County","Gilman"
"Colchester","0901115910","09011","New London County","North Westchester"
"East Lyme","0901123400","09011","New London County","Niantic"
"Franklin","0901129910","09011","New London County","North Franklin"
"Griswold","0901133900","09011","New London County","Glasgo"
"Griswold","0901133900","09011","New London County","Jewett City"
"Groton","0901134250","09011","New London County","Groton City"
"Groton","0901134250","09011","New London County","Groton Long Point"
"Groton","0901134250","09011","New London County","Noank"
"Groton","0901134250","09011","New London County","Submarine Base"
"Groton","0901134250","09011","New London County","West Mystic"
"Ledyard","0901142600","09011","New London County","Gales Ferry"
"Lyme","0901144210","09011","New London County","Hadlyme"
"Montville","0901148900","09011","New London County","Oakdale"
"Montville","0901148900","09011","New London County","Uncasville"
"New London","0901152350","09011","New London County","Coast Guard Acad"
"New London","0901152350","09011","New London County","Conn College"
"Norwich","0901156270","09011","New London County","Taftville"
"Norwich","0901156270","09011","New London County","Yantic"
"Old Lyme","0901157040","09011","New London County","South Lyme"
"Preston","0901162150","09011","New London County","Poquetanuck"
"Sprague","0901171670","09011","New London County","Baltic"
"Sprague","0901171670","09011","New London County","Hanover"
"Sprague","0901171670","09011","New London County","Versailles"
"Stonington","0901173770","09011","New London County","Mystic"
"Stonington","0901173770","09011","New London County","Old Mystic"
"Stonington","0901173770","09011","New London County","Pawcatuck"
"Stonington","0901173770","09011","New London County","Wequetequock"
"Waterford","0901180280","09011","New London County","Quaker Hill"
"Hebron","0901337910","09013","Tolland County","Amston"
"Mansfield","0901344910","09013","Tolland County","Mansfield Center"
"Mansfield","0901344910","09013","Tolland County","Mansfield Depot"
"Mansfield","0901344910","09013","Tolland County","Merrow"
"Mansfield","0901344910","09013","Tolland County","Storrs"
"Somers","0901369220","09013","Tolland County","Somersville"
"Stafford","0901372090","09013","Tolland County","Stafford Springs"
"Stafford","0901372090","09013","Tolland County","Staffordville"
"Vernon","0901378250","09013","Tolland County","Rockville"
"Vernon","0901378250","09013","Tolland County","Talcottville"
"Willington","0901385950","09013","Tolland County","South Willington"
"Willington","0901385950","09013","Tolland County","West Willington"
"Ashford","0901501430","09015","Windham County","Warrenville"
"Killingly","0901540500","09015","Windham County","Ballouville"
"Killingly","0901540500","09015","Windham County","Danielson"
"Killingly","0901540500","09015","Windham County","Dayville"
"Killingly","0901540500","09015","Windham County","East Killingly"
"Killingly","0901540500","09015","Windham County","Rogers"
"Killingly","0901540500","09015","Windham County","South Killingly"
"Plainfield","0901559980","09015","Windham County","Central Village"
"Plainfield","0901559980","09015","Windham County","Moosup"
"Plainfield","0901559980","09015","Windham County","Wauregan"
"Pomfret","0901561030","09015","Windham County","Abington"
"Pomfret","0901561030","09015","Windham County","Pomfret Center"
"Putnam","0901562710","09015","Windham County","East Putnam"
"Sterling","0901573420","09015","Windham County","Oneco"
"Thompson","0901575870","09015","Windham County","Fabyan"
"Thompson","0901575870","09015","Windham County","Grosvenor Dale"
"Thompson","0901575870","09015","Windham County","Mechanicsville"
"Thompson","0901575870","09015","Windham County","n. Grosvenordale"
"Thompson","0901575870","09015","Windham County","North Grosvenor Dale"
"Thompson","0901575870","09015","Windham County","Quinebaug"
"Windham","0901586790","09015","Windham County","North Windham"
"Windham","0901586790","09015","Windham County","South Windham"
"Windham","0901586790","09015","Windham County","Willimantic"
"Woodstock","0901588190","09015","Windham County","East Woodstock"
"Woodstock","0901588190","09015","Windham County","North Woodstock"
"Woodstock","0901588190","09015","Windham County","South Woodstock"
"Woodstock","0901588190","09015","Windham County","Woodstock Valley"
